Mixture fraction,Equivalence ratio (reduced mechanism),Flame Speed (reduced mechanism) [m/s],Adiabatic flame temperature (reduced mechanism) [K],Maximum temperature (reduced mechanism) [K],Z_max (reduced mechanism) [m],Flame Speed (complete mechanism) [m/s],Adiabatic flame temperature (complete mechanism) [K],Maximum temperature (complete mechanism) [K],Z_max (complete mechanism) [m]
0.81,14.6828,-1,532.022,-1,-1,-1,532.022,-1,-1
0.82,14.8641,-1,521.086,-1,-1,-1,521.086,-1,-1
0.83,15.0454,-1,509.967,-1,-1,-1,509.967,-1,-1
0.84,15.2267,-1,498.668,-1,-1,-1,498.668,-1,-1
0.85,15.4079,-1,487.195,-1,-1,-1,487.195,-1,-1
0.86,15.5892,-1,475.555,-1,-1,-1,475.555,-1,-1
0.87,15.7705,-1,463.756,-1,-1,-1,463.756,-1,-1
0.88,15.9517,-1,451.807,-1,-1,-1,451.807,-1,-1
0.89,16.133,-1,439.718,-1,-1,-1,439.718,-1,-1
0.9,16.3143,-1,427.499,-1,-1,-1,427.499,-1,-1
0.91,16.4955,-1,415.159,-1,-1,-1,415.159,-1,-1
0.92,16.6768,-1,402.708,-1,-1,-1,402.708,-1,-1
0.93,16.8581,-1,390.154,-1,-1,-1,390.154,-1,-1
0.94,17.0394,-1,377.506,-1,-1,-1,377.506,-1,-1
0.95,17.2206,-1,364.769,-1,-1,-1,364.769,-1,-1
0.96,17.4019,-1,351.951,-1,-1,-1,351.951,-1,-1
0.97,17.5832,-1,339.059,-1,-1,-1,339.059,-1,-1
0.98,17.7644,-1,326.097,-1,-1,-1,326.097,-1,-1
0.99,17.9457,-1,313.074,-1,-1,-1,313.074,-1,-1
1,18.127,-1,299.998,-1,-1,-1,299.998,-1,-1
